"jurisdiction","jurisdiction_code","indicator_id","indicator_text","points_possible","answer","points_awarded","source_url","source_title","source_type","source_date","accessed_date","evidence_quote","protocol_step","note"
"Hawaii","HI","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://dhrd.hawaii.gov/state-employees/employee-benefits/incentive-and-service-awards-program/","Hawaii DHRD - Incentive and Service Awards Program (citing HRS 78-29)","OFFICIAL","UNDATED","2026-07-31","""established by Section 78-29 of the Hawai'i Revised Statutes""","4","Official DHRD page naming the statutory authority. Program recognizes contributions to efficiency/economy, exceptionally meritorious acts, and long service (10/20/30/40/50 years). capitol.hawaii.gov returned HTTP 403 and lawserver returned 307, so the statute text itself was not opened; scored from the state HR agency's own page citing it."
"Idaho","ID","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://legislature.idaho.gov/statutesrules/idstat/title67/t67ch53/sect67-5309d/","Idaho Code 67-5309D - Employee suggestion awards","OFFICIAL","UNDATED","2026-07-31","""may grant a classified employee an award payment based on suggestions""","1","Official Idaho Legislature site. Award up to 25 percent of documented savings, capped at $2,000 absent Board of Examiners approval. Rulemaking authority cross-referenced at 67-5309."
"Illinois","IL","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.ilga.gov/Legislation/ILCS/Articles?ActID=236&ChapterID=5&Print=True","Illinois Personnel Code, 20 ILCS 415, Section 8c(3)","OFFICIAL","UNDATED","2026-07-31","""programs to improve the work effectiveness and morale of employees ... a suggestion system""","1","Official Illinois General Assembly site. Authorization is generic - a suggestion system is listed among employee programs under Jurisdiction C; no dedicated awards statute located. Weaker authority than most states but statutory, so YES."
"Indiana","IN","I1","Does a state law or administrative rule authorize employee recognition awards?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","1","Search results repeatedly surfaced language that the director ""shall institute an employee awards system"" attributed to IC 4-15-1.8 / former IC 4-15-2-6, but no primary text could be opened to confirm it is current law: law.justia.com HTTP 403, iga.in.gov returned a page with no statutory text, lawserver.com HTTP 307, and in.gov SPD's laws page cites only IC 4-15-2.2 civil-service provisions with no awards section. Protocol forbids awarding a point from a search snippet, so recorded as COULDNT_CHECK rather than YES."
"Iowa","IA","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.legis.iowa.gov/docs/code/2025/8A.110.rtf","Iowa Code 8A.110 - State employee suggestion system","OFFICIAL","2025","2026-07-31","""There is created a state employee suggestion system""","1","Official Iowa Legislature site, 2025 edition. Awards 10 percent of first-year net savings up to $10,000 plus a certificate; no cash award below $100 in annual savings. The .pdf version returned undecodable binary; the .rtf version of the same section was readable."
"Kansas","KS","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://ksrevisor.gov/statutes/chapters/ch75/075_037_0105.html","K.S.A. 75-37,105 - Employee award and recognition program","OFFICIAL","UNDATED","2026-07-31","""There is established an employee award and recognition program for state employees""","1","Official Kansas Revisor of Statutes site. Authorizes both a general award and recognition program and a separate employee suggestion program; monetary and non-monetary awards; $3,500 annual cap per employee. Among the most explicit I1 authorities found so far."
"Kentucky","KY","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://apps.legislature.ky.gov/law/kar/titles/101/002/120/","101 KAR 2:120 - Employee suggestion system incentive program","OFFICIAL","UNDATED","2026-07-31","""establishes the requirements for an employee suggestion system incentive program""","1","Official Kentucky Legislative Research Commission site. Administrative regulation citing statutory authority KRS 18A.030(2), 18A.110(1)(d) and 18A.202(1), the last of which authorizes the secretary to establish work-related incentive programs. Cash awards $100-$2,500. Qualifies under I1 as an administrative rule."
"Louisiana","LA","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.civilservice.louisiana.gov/csrules/chapter6.aspx","Louisiana Civil Service Rule 6.16.1 - Rewards and Recognition","OFFICIAL","UNDATED","2026-07-31","""an appointing authority may ... implement a program of rewards and recognition""","1","Official Louisiana Dept. of State Civil Service site. Civil Service Rules derive authority from Article X of the Louisiana Constitution. Permissive rather than mandatory; agency programs require Civil Service Commission approval. Monetary rewards up to 10 percent of base salary annually."
"Maine","ME","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://legislature.maine.gov/statutes/5/title5sec651.html","5 M.R.S. 651 - Employee Suggestion System","OFFICIAL","UNDATED","2026-07-31","""established to encourage by means of cash or honorary awards state employees""","1","Official Maine Legislature site. Title 5 Chapter 56-A is headed ""Employee Awards."" Awards capped at 10 percent of first-year savings or $2,000; up to $100 for non-cost-saving improvements. Predecessor section 5 MRS 642 shown as repealed; 651 is the operative provision."
"Maryland","MD","I1","Does a state law or administrative rule authorize employee recognition awards?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","COMAR 17.04.10 is titled ""Training and Awards"" under the Dept. of Budget and Management, Office of Personnel Services and Benefits, and is the likely I1 authority, but its text could not be opened: dsd.maryland.gov 301-redirected to regs.maryland.gov, which returned HTTP 404, and law.justia.com returned HTTP 403. Statute search found only SPP 7-501 (performance evaluations), which does not authorize awards. Recorded as COULDNT_CHECK, not NO - the authority likely exists but was not read."
"Massachusetts","MA","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://malegislature.gov/Laws/GeneralLaws/PartI/TitleII/Chapter7/Section31A","M.G.L. c.7 s.31A - Suggestion awards board; function; prizes","OFFICIAL","UNDATED","2026-07-31","""shall from time to time award cash prizes to the officers or employees""","1","Official Massachusetts Legislature site. Establishes a suggestion awards board within the Executive Office for Administration and Finance (secretary, comptroller, budget director) and authorizes cash prizes for meritorious suggestions. Separate from the HRD-run Performance Recognition Program, which is policy rather than authority."
"Michigan","MI","I1","Does a state law or administrative rule authorize employee recognition awards?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","Michigan Civil Service Commission Regulation 5.07 (performance-pay programs, including lump-sum awards) is the likely I1 authority, but every primary document is served as a PDF from michigan.gov that returned HTTP 403: Reg507.pdf, the October 2025 Rule Book, and the current Rules-Book.pdf, on four separate attempts. Note also that Regulation 5.07 governs performance PAY rather than recognition awards specifically, so even if opened it may not satisfy I1 - unresolved in both respects."
"Minnesota","MN","I1","Does a state law or administrative rule authorize employee recognition awards?","20","NO","0","https://www.revisor.mn.gov/statutes/cite/16A.90","Minnesota Statutes 16A.90 - Employee Gainsharing System (repealed)","OFFICIAL","2025","2026-07-31","""16A.90 MS 2024 [Repealed, 2025 c 39 art 2 s 69]""","1","Genuine NO, protocol completed on both limbs. The employee gainsharing/bonus statute was REPEALED in 2025 (2025 c 39 art 2 s 69). The full text of Chapter 43A (state personnel management) was then opened and searched: no section authorizes employee recognition, achievement, or incentive awards. Minnesota appears to have had statutory award authority and lost it - worth a second look before publishing."
"Mississippi","MS","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://codes.findlaw.com/ms/title-25-public-officers-and-employees-public-records/ms-code-sect-25-9-134/","Mississippi Code 25-9-134 - Program to encourage and recognize excellence in government","OFFICIAL","UNDATED","2026-07-31","""recommend a monetary award for those suggestions which improve management""","1","Scope trap checked: the program's headline object is governmental ENTITIES, so the page was re-read specifically for employee-level authority. It confirms nomination of a ""particular individual or group of individuals"" and payment of the award ""to the employee,"" so the population is correct. law.justia.com returned HTTP 403; text read from FindLaw statutory mirror."
"Missouri","MO","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://revisor.mo.gov/main/OneSection.aspx?section=36.030","RSMo 36.030 - Employee suggestions, awards authorized","OFFICIAL","2023-08-28","2026-07-31","""the director shall establish employee recognition programs, including a statewide employee suggestion system""","1","Official Missouri Revisor of Statutes site; section effective 2023-08-28. Mandatory (""shall establish""), covers recognition programs generally rather than suggestions only, and caps monetary awards at $5,000. One of the strongest I1 authorities found so far."
"Montana","MT","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://mca.legmt.gov/bills/mca/title_0020/chapter_0180/part_0110/section_0020/0020-0180-0110-0020.html","MCA 2-18-1102 - Employee incentive program; creation","OFFICIAL","UNDATED","2026-07-31","""shall develop a statewide employee incentive award program to appropriately recognize and monetarily reward""","1","Official Montana Legislature site. MCA Title 2 Ch. 18 Part 11 is headed ""Employee Incentive Program"" and includes eligibility (2-18-1105) and award-granting (2-18-1106) sections. Mandatory language; covers individuals and teams. Notable against the audit finding that Montana scored lowest in the country on the old D5 (19.0)."
"Nebraska","NE","I1","Does a state law or administrative rule authorize employee recognition awards?","20","NO","0","https://nebraskalegislature.gov/laws/statutes.php?statute=81-1352","Neb. Rev. Stat. 81-1352 - Employee suggestion system (repealed)","OFFICIAL","2026","2026-07-31","""Repealed. Laws 2026, LB1048, s. 46""","1","Two official statute pages opened (81-1346 and 81-1352), both showing ""Repealed. Laws 2026, LB1048, s. 46."" LB1048 is described as eliminating the Suggestion Award Board and the state employee suggestion system outright. CAVEAT: Nebraska Administrative Code Title 276 Ch. 8 (Employee Suggestion System Awards) was not opened, so a residual administrative rule may technically survive its repealed enabling statute. Recorded NO on the strength of the abolishing act; flag for review if the rule limb matters."
"Nevada","NV","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://nevada.public.law/statutes/nrs_285.020","NRS 285.020 - Merit Award Program established; designation of award","OFFICIAL","UNDATED","2026-07-31","""There is hereby established a Merit Award Program for state employees""","1","NRS Chapter 285 is titled ""Awards to State Employees"" - an entire statutory chapter devoted to the subject. Award designated the ""Good Government, Great Employees Award""; Merit Award Board and a dedicated Merit Award Account in the State General Fund. law.justia.com returned HTTP 403; text read from public.law statutory mirror."
"New Hampshire","NH","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://gc.nh.gov/rsa/html/I/21-I/21-I-42.htm","RSA 21-I:42 - Division of Personnel; duties","OFFICIAL","UNDATED","2026-07-31","""The development of nonmonetary incentive or award systems""","1","Official New Hampshire General Court site. Authority is real but thin and expressly limited to NONMONETARY systems, and is framed as technical assistance to agencies (paragraph XII(c)) rather than establishing a program. Scored YES because an award system is statutorily contemplated, but it is the weakest YES in this batch."
"New Jersey","NJ","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-4A-6-6-5","N.J.A.C. 4A:6-6.5 - Suggestion Award Program","OFFICIAL","UNDATED","2026-07-31","""A suggestion is a written proposal ... which will produce notable economy or improvement""","1","Administrative rule, which I1 accepts. New Jersey also has a statutory Awards Committee at N.J.S.A. 11A:6-29 and a broader award framework (commendation, suggestions, service recognition) covering executive branch, Judiciary and Office of Legislative Services, but the specific rule opened and quoted covers suggestion awards only. Read from the Cornell LII regulatory mirror."
"New Mexico","NM","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.srca.nm.gov/parts/title01/01.007.0004.html","1.7.4.18 NMAC - Government Cost Savings Incentive Awards","OFFICIAL","UNDATED","2026-07-31","""Agencies may provide cash awards to employees with the approval of the board""","4","Official New Mexico State Records Center and Archives NMAC site. State Personnel Board rule; cites statutory authority NMSA 1978 Section 10-7-12. Cash awards require board approval, so authority is real but gated. The State Personnel Act (10-9-1 to 10-9-25) itself contains no award provision."
"New York","NY","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.law.cornell.edu/regulations/new-york/4-NYCRR-61.2","4 NYCRR 61.2 - Merit Awards; definitions","OFFICIAL","UNDATED","2026-07-31","""the form of recognition granted by the commission for an unusual and meritorious accomplishment""","4","Administrative rule, which I1 accepts. 4 NYCRR Part 61 is headed ""Merit Awards""; the State Civil Service Commission grants meritorious service awards and determines suggestion award amounts. Corroborated by the NY Comptroller's official guidance (osc.ny.gov XIV.5), which describes longevity, performance, recognition and achievement awards and notes Civil Service Law 135 bars extra compensation unless statutorily authorized. Read from the Cornell LII regulatory mirror."
"North Carolina","NC","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.ncleg.net/enactedlegislation/statutes/html/bysection/chapter_126/gs_126-4.html","N.C.G.S. 126-4(8) - Powers of State Human Resources Commission; meritorious service awards","OFFICIAL","UNDATED","2026-07-31","""A program of meritorious service awards""","1","Official North Carolina General Assembly site. G.S. 126-4(8) authorizes a meritorious service awards program and (10) references productivity incentives. Corroborating: the NC-Thinks suggestion program pays incentive bonuses from 30 percent of annualized savings. Note the audit found NC's old D5 recorded ""could not identify statewide recognition events; assumed zero"" - the statutory authority plainly exists."
"North Dakota","ND","I1","Does a state law or administrative rule authorize employee recognition awards?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","1","NDCC 54-06-24 is confirmed to EXIST and to be titled ""State employee suggestion incentive program"" - the official ndlegis.gov chapter table of contents lists it by that name - but the section text could not be opened in five attempts: t54c06.pdf returned undecodable binary, the .html page is a table of contents only, codes.findlaw.com served a title index rather than the section, and lawserver.com returned HTTP 307. Title alone is not proof of content, so recorded COULDNT_CHECK rather than YES."
"Ohio","OH","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://codes.ohio.gov/ohio-revised-code/section-124.17","Ohio Revised Code 124.17 - Employee awards system","OFFICIAL","UNDATED","2026-07-31","""may institute an employee awards system designed to encourage all state employees""","1","Official Ohio Laws site. Two distinct authorities in one section: an employee awards system for suggestions (monetary up to $5,000 or nonmonetary) and a separate program for recognition of exemplary performance which may include cash awards, additional leave, or other provisions."
"Oklahoma","OK","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=103188","74 O.S. 4114 - Authority of agencies to participate in incentive awards program","OFFICIAL","1984","2026-07-31","""any agency, department, commission, or office of state government may participate""","1","Official Oklahoma State Courts Network. Sections 4111-4122 of Title 74 are the ""Incentive Awards for State Employees Act"" (Laws 1984 c.269, amended 2015). Legislature, Governor, Lt. Governor and State Auditor offices excluded. OMES implements via OAC Title 260 Ch. 35. Contrast with the audit finding that Oklahoma's old D5 rested on a 2008 proclamation."
"Oregon","OR","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://oregon.public.law/statutes/ors_182.320","ORS 182.320 - Employee Suggestion Awards Commission","OFFICIAL","UNDATED","2026-07-31","""formulate, establish and maintain an employee suggestion program to encourage and reward meritorious suggestions""","1","Establishes a seven-member Employee Suggestion Awards Commission appointed by the Governor, with the DAS Director appointing its secretary. Related: ORS 182.375 creates a State Productivity Improvement Revolving Fund. Read from the public.law statutory mirror; oregonlegislature.gov chapter page was an index only."
"Pennsylvania","PA","I1","Does a state law or administrative rule authorize employee recognition awards?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","Management Directive 505.23 (Employee Recognition Programs) is the likely I1 authority and is referenced as permitting agencies to run recognition programs and award ceremonies, but its text could not be read: the pa.gov PDF returned undecodable binary. No statutory authority located either - the PA HR policies-and-laws page lists labor relations, discipline and civil service items with nothing on awards, and the Pennsylvania Bulletin item checked concerned leave rules, not awards. Unresolved after four attempts. Note a management directive may in any case be policy rather than an administrative rule."
"Rhode Island","RI","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://codes.findlaw.com/ri/title-36-public-officers-and-employees/ri-gen-laws-sect-36-4-62/","R.I. Gen. Laws 36-4-62 - Pay incentive program","OFFICIAL","UNDATED","2026-07-31","""shall receive five percent (5%) of any savings""","1","Statutory incentive for employees who propose eliminating inefficiencies, duplication or waste; 5 percent of documented savings capped at $2,000, paid as a lump sum after 12 months; personnel administrator to make implementing rules. Department heads and management excluded. The Title 36 index shows no chapter headed awards or recognition, so this is the operative provision. law.justia.com HTTP 403; read from FindLaw mirror."
"South Carolina","SC","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.scstatehouse.gov/code/t08c011.php","S.C. Code 8-11-190 - Expenditure of public funds for employee recognition","OFFICIAL","UNDATED","2026-07-31","""must be allowed to spend public funds on employee plaques, certificates, and other events""","1","Official South Carolina Statehouse site. Authorizes recognition spending to reward innovations or improvements by individual employees or teams. Companion section 8-1-180 also cited by the state HR agency. Note: secondary sources describe a $50 per-employee cap, but the text opened states no cap, so the cap is not recorded here."
"South Dakota","SD","I1","Does a state law or administrative rule authorize employee recognition awards?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","1","No route to South Dakota Codified Laws text succeeded: sdlegislature.gov returned a JavaScript browser-compatibility stub rather than statute content, law.justia.com HTTP 403, lawserver.com HTTP 307, and bhr.sd.gov 302-redirected to sd.gov/bhra which shows only navigation. SDCL 3-6D (State Civil Service) section list could not be read, so neither presence nor absence of award authority is established."
"Tennessee","TN","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://codes.findlaw.com/tn/title-4-state-government/tn-code-sect-4-27-101.html","Tenn. Code Ann. 4-27-101 - Employee suggestion award program","OFFICIAL","UNDATED","2026-07-31","""There is established an employee suggestion award program for employees and retired employees""","1","Covers current AND retired state employees, and permits honorary as well as cash awards. Companion section 4-27-102 creates the award board (commissioners of finance and administration, human resources, general services, fiscal review director, TSEA appointee). Searched TCA 8-30 first, which is personnel administration generally; 4-27 is the operative chapter. law.justia.com HTTP 403; read from FindLaw mirror."
"Texas","TX","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://fmcpa.cpa.state.tx.us/fiscalmoa/exp.jsp?num=7030","Texas Comptroller Manual of Accounts - Employee Incentive Bonus (citing Govt Code 2108.103)","OFFICIAL","2026","2026-07-31","""payment of employee incentive bonuses to eligible state employees who make suggestions""","4","Official Texas Comptroller fiscal manual naming the statutory authority, Government Code 2108.103. Chapter 2108 is the state employee incentive program, administered by the Governors office; bonus of 10 percent of net savings capped at $5,000; elected and appointed officials excluded. Statute text itself not opened - statutes.capitol.texas.gov served navigation only and both FindLaw and public.law 404'd - so scored from the states own fiscal authority page."
"Utah","UT","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.law.cornell.edu/regulations/utah/Utah-Admin-Code-R477-6-7","Utah Admin. Code R477-6-7 - Incentive Awards","OFFICIAL","UNDATED","2026-07-31","""Management may grant a cash incentive award to an employee or group of employees""","4","Administrative rule, which I1 accepts, made under Utah Code 67-19-12 (Utah State Personnel Management Act), which provides for a program of incentive awards for cost-saving suggestions and other commendable acts. Caps of $4,000 per pay period and $8,000 per fiscal year absent DHRM and gubernatorial approval; agencies must publish their own policy first. Read from the Cornell LII regulatory mirror."
"Vermont","VT","I1","Does a state law or administrative rule authorize employee recognition awards?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","Statutory limb checked and negative: Title 3 Chapter 13 (Classification of State Personnel) and Chapter 53 were both opened in full and contain no award, recognition, merit-bonus or suggestion provision. Rule limb blocked: Vermont DHR pages returned HTTP 403 (humanresources.vermont.gov merit-awards and aoa.vermont.gov recognition awards), so Personnel Policy 7.1 (Employee Recognition and Merit Awards) and the Personnel Rules adopted under 3 V.S.A. 310(d) could not be read. Recorded COULDNT_CHECK because I1 accepts administrative rules and that limb is unverified."
"Virginia","VA","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://law.lis.virginia.gov/vacode/title2.2/chapter12/section2.2-1201/","Va. Code 2.2-1201(A)(15) - Duties of Department of Human Resource Management","OFFICIAL","UNDATED","2026-07-31","""Adopt and implement a centralized program to provide awards to employees""","1","Official Virginia LIS site. Mandatory duty on DHRM, not a permission: the Department must adopt a centralized awards program, protect proposer identity during evaluation, publicize awards, and provide a reevaluation route for rejected proposals, with 30-day acknowledgement and 60-day feasibility deadlines. DHRM also publishes an Employee Recognition Program Handbook."
"Washington","WA","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://app.leg.wa.gov/rcw/default.aspx?cite=41.60.015","RCW 41.60.015 - Productivity board created; employee involvement and recognition board","OFFICIAL","UNDATED","2026-07-31","""there is hereby created the productivity board, which may also be known as the employee involvement and recognition board""","1","Official Washington Legislature site. Chapter 41.60 RCW is headed State Employees Suggestion Awards and Incentive Pay and includes a teamwork incentive program at 41.60.120. Board chaired by the Secretary of State. Elected officials, agency directors and certain confidential staff are excluded - correct population."
"Washington DC","DC","I1","Does a state law or administrative rule authorize employee recognition awards?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","DCMR Title 6-B Chapter 19 is titled Incentive Awards and District Personnel Manual Chapter 19 covers the same ground, made under Title XIX of the Comprehensive Merit Personnel Act (D.C. Official Code 1-619.01 et seq.), but no copy could be opened in four attempts: dcrules.elaws.us returned HTTP 503 twice, edpm.dc.gov returned HTTP 520 twice, and the DCHR issuance PDF returned undecodable binary. Authority almost certainly exists; it was not read, so no point is awarded."
"West Virginia","WV","I1","Does a state law or administrative rule authorize employee recognition awards?","20","NO","0","https://code.wvlegislature.gov/5A-1A-1/","W. Va. Code 5A-1A-1 - Employee suggestion award program continued (repealed)","OFFICIAL","2025","2026-07-31","""[Repealed]""","1","Official West Virginia Legislature code site. The section under ARTICLE 1A, EMPLOYEE SUGGESTION AWARD BOARD, is marked repealed, last affected by 2025 Regular Session SB738. Corroborating: the legislatures Employee Suggestion Award Board page lists no meeting after September 2021 and cites no authority; W. Va. Code 29-6-10 (civil service rules) contains no award provision and 29-6-27 is also repealed. CAVEAT: W. Va. Code of State Rules Agency 147 was not opened, so a residual rule may survive - same limitation flagged for Nebraska."
"Wisconsin","WI","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://docs.legis.wisconsin.gov/document/statutes/230.48","Wis. Stat. 230.48 - State employees suggestion board","OFFICIAL","UNDATED","2026-07-31","""Make and render awards to or for the benefit of state employees nominated to receive them""","1","Official Wisconsin Legislature site. Cash awards of 10 percent of average annual savings, minimum $50 and maximum $10,000, plus certificates, medals or other insignia. Separately, Wis. Stat. 230.04(19) requires the administrator to run a discretionary merit award program for lump-sum awards to classified employees exceeding expectations - two independent authorities."
"Wyoming","WY","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://codes.findlaw.com/wy/title-9-administration-of-the-government/wy-st-sect-9-2-3207.html","Wyo. Stat. 9-2-3207 - Duties of department performed through human resources division","OFFICIAL","UNDATED","2026-07-31","""shall utilize both fixed and variable compensation as well as noncash reward and recognition programs""","1","Recodified from the former 9-2-1022. Mandatory language directed at the state compensation plan, though the recognition element is expressly noncash. Wyoming also runs an Employee Suggestion Award Program under administrative code open to active and retired executive-branch employees; that rule was not separately opened. law.justia.com HTTP 403; read from FindLaw mirror."
