jurisdiction,pd_function_count,pd_function_names,cpm_status,cpm_present,certificate_programs,certificate_present,pd_points,digital_states_grade,digital_states_points,dimension4_score,psai_contribution,pd_source_urls,source_publication_dates,verified,notes
Hawaii,0,,No program,no,Graduate Certificate in Public Administration (University of Hawaiʻi at Mānoa Outreach College); Graduate Certificate in Nonprofit Management (University of Hawaiʻi at Mānoa (Public Administration Program)); Graduate Certificate in Public Policy (University of Hawaiʻi at Mānoa (Public Administration Program)),yes,7,A-,92,49.5,7.425,https://www.outreach.hawaii.edu/programs/graduate-certificate-in-public-administration/; https://puba.manoa.hawaii.edu/certificates; https://puba.manoa.hawaii.edu/certificates,undated; undated; undated,yes,"Hawaii official-state-gov search found no distinctly-named, dedicated statewide PD division or leadership academy on a .gov page — DHRD's Training and Development / Learning and Development (via Adobe Learning Manager, contact dhrd.training@hawaii.gov) is a generic HR-training service area with no specific branded program name found, so it is listed with verified=false (does not clearly meet the ""dedicated named function"" bar; borderline HR/training page). No official state-run leadership academy was found on a .gov source — the ""Hawaii Leadership Academy"" found via search is run by the Hawaii Employers Council, a private/nonprofit organization, not the state government, so it was excluded entirely. Certificate programs: University of Hawaiʻi at Mānoa Outreach College offers a Graduate Certificate in Public Administration (verified, primary source); the UH Mānoa Public Administration Program (puba.manoa.hawaii.edu) offers Graduate Certificate in Nonprofit Management and Graduate Certificate in Public Policy (verified, primary source; note this page did NOT list a ""Public Administration"" certificate despite the program name). A ""Certificate in Leadership and Management"" via UH Outreach College was found in search results but the direct URL returned 404 on fetch, so it is listed with verified=false pending re-confirmation. None of these certificate programs are the National CPM Consortium program (excluded per instructions). No dates were shown on any of these pages beyond generic copyright years, so pub_date is ""undated"" throughout."
Idaho,1,DHR Supervisory Academy (Idaho Division of Human Resources),Program exists,no,"Project Management Certificate (Idaho State University, College of Business)",yes,62,B,83,72.5,10.875,https://dhr.idaho.gov/event/dhr-supervisory-academy-boise/; https://www.isu.edu/cob/programs/certificates/projectmanagement/,"2025 (event dated May 20-22, 2025; no page-level publish date shown); 2019",yes,"Idaho pd_functions: confirmed one dedicated statewide function — the DHR Supervisory Academy, a 3-day statewide supervisory training run by the Idaho Division of Human Resources (dhr.idaho.gov), re-fetched and confirmed on the official event page. Excluded: employee.idaho.gov/state-employee-trainings/ (generic portal linking out to agency training pages, no named division/academy of its own; last updated 2026-03-10 per page timestamp, but names no dedicated function); dhr.idaho.gov/course-catalog/ (lists individual courses, not a named academy/division program); CTE Leadership Institute and Idaho Academic Leadership Academy (both are education-sector, not statewide state-employee PD, and not confirmed as state-gov general workforce functions). certificate_programs: found the ISU College of Business Project Management Certificate (verified, official ISU page, dated 2019 copyright, no newer timestamp found) and the Pre-CPM Certificate offered via cpm.idaho.gov's 15-course series — flagged verified=false and noted here for transparency, but this is part of the National CPM Consortium program itself (Idaho's CPM program page), which is explicitly excluded from this collection per instructions since it is scored separately; listed only to document what was found, not for counting. No other non-CPM public-manager certificate programs were confirmed on official .gov or public-university pages during this search pass."
Illinois,2,Governor's Office Academy of Leadership (G.O.A.L.); CMS Learning & Professional Development (Office of Operational Excellence),Accredited + established,yes,Certificate of Graduate Study in Public Management (Northern Illinois University); Certificate in Public Management (Illinois Institute of Technology),yes,89,B+,88,88.5,13.275,https://cms.illinois.gov/agency/ooe/goal.html; https://cms.illinois.gov/agency/ooe/lpd.html; https://www.niu.edu/online/certificates/certificate-public-management.shtml; https://www.iit.edu/academics/programs/public-management-certificate,undated; undated; undated; undated,yes,"Illinois PD functions found and confirmed on official state (.gov) pages: (1) Governor's Office Academy of Leadership (G.O.A.L.) — an 11-month cohort leadership development program for mid-level executive-branch leaders, run under CMS's Office of Operational Excellence (cms.illinois.gov/agency/ooe/goal.html); (2) CMS Learning & Professional Development (formerly Agency Training & Development), the state's central training division under CMS Office of Operational Excellence, which also references ""CMS University"" as the state's internal continuing/professional education portal (cms.illinois.gov/agency/ooe/lpd.html). Excluded from pd_functions: generic HR/career pages (Upward Mobility Program, careers.illinois.gov career-development page) as these are career-counseling/compliance-adjacent, not dedicated PD/training functions, and the National CPM Consortium-affiliated ""Illinois Certified Public Manager Program"" at UIC (gfrc.uic.edu) since that is scored separately per project rules. Certificate programs (non-CPM) found at three public universities: NIU's Certificate of Graduate Study in Public Management, IIT's Certificate in Public Management, and UIS's Public Management & Policy Graduate Certificates (page could not be fetched directly — 403 Forbidden — so listed as unverified; found via search snippet only, names include Public Procurement Management, Community Planning, and Nonprofit Management graduate certificates). No page among these sources displayed a visible last-updated/publication date; all pub_date fields set to ""undated"" per instructions."
Indiana,2,Indiana State Personnel Department (SPD) — Learning & Development / Training Opportunities; Indiana Manager Central (IMC) — statewide manager-centric resource and training/workshop series,Accredited + established,yes,Graduate Certificate in Public Management (Indiana University Indianapolis — Paul H. O'Neill School of Public and Environmental Affairs),yes,89,A-,92,90.5,13.575,https://www.in.gov/spd/trainingopportunities/; https://www.in.gov/spd/trainingopportunities/managerssupervisors/; https://oneill.indianapolis.iu.edu/academics/graduate-degrees/certificates/public-management.html,undated; undated; undated,yes,"Statewide PD functions found and confirmed on official IN.gov pages: (1) Indiana State Personnel Department (SPD) Learning & Development / Training Opportunities — central statewide training division for state employees; (2) Indiana Manager Central (IMC) — explicitly named statewide manager-centric program with resource website, monthly newsletter, and training/workshop series. Excluded: IDOC (Dept of Correction) 'Leadership Academy' since it is agency-specific, not a statewide-employee function, and was not re-fetched/confirmed here; generic SPD onboarding/required-compliance training pages were excluded per instructions. Non-CPM certificate programs found at public universities: IU Indianapolis O'Neill School's Graduate Certificate in Public Management (re-fetched, named on primary page, no date shown) and Executive Certificate in Public Management (employer-facing, not independently re-fetched — verified=false); similar Graduate Certificate in Public Management offerings also listed at IU Bloomington and IU Kokomo (found via search, not independently re-fetched, so verified=false). Ball State University's Certified Public Manager program was excluded per instructions as it is the National CPM Consortium-accredited program, which is scored separately. No pub/update dates were found on any of these pages; all pub_date values are 'undated' per instructions (no today's-date substitution)."
Iowa,1,Performance & Development Solutions (PDS) — Iowa Department of Administrative Services,Accredited + established,yes,Professional Development Certificate (PDS) (Iowa Department of Administrative Services); Advanced Professional Development Certificate (PDS) (Iowa Department of Administrative Services); Leadership Development Certificate (PDS) (Iowa Department of Administrative Services); Advanced Leadership Development Certificate (PDS) (Iowa Department of Administrative Services); Public Employees Leadership Institute (completion certificates) (Iowa State University — Iowa LTAP),yes,74,B+,88,81,12.15,https://das.iowa.gov/state-employees/training-and-development; https://das.iowa.gov/advance-your-knowledge-pds-certificates; https://das.iowa.gov/advance-your-knowledge-pds-certificates; https://das.iowa.gov/advance-your-knowledge-pds-certificates; https://das.iowa.gov/advance-your-knowledge-pds-certificates; https://iowaltap.iastate.edu/public-employees-leadership-institute/,undated; 2018-02; 2018-02; 2018-02; 2018-02; undated,yes,"Iowa PD infrastructure: (1) pd_functions — one confirmed official statewide function: Performance & Development Solutions (PDS), the central training/learning division under Iowa DAS (das.iowa.gov), offering 35+ live courses to state employees; page is undated but references FY26 catalog. No separate state 'leadership academy' distinct from PDS was found on an official state page (Iowa Principal Leadership Academy is education-sector specific under Dept of Education, not statewide public-manager PD, so excluded). (2) certificate_programs — Two overlapping naming generations found on official DAS pages: an older 2018-dated set (Professional Development Certificate, Advanced Professional Development Certificate, Leadership Development Certificate, Advanced Leadership Development Certificate) confirmed via https://das.iowa.gov/advance-your-knowledge-pds-certificates (pub_date 2018-02, directly fetched/verified), and a current-generation set named on the pds-certificate-programs page per search snippet (TDC, ATDC, LCBDC, MDC) that returned HTTP 403 on direct WebFetch, so those four are marked verified=false (found via search results only, not re-opened on primary source). Also included Iowa State University's Public Employees Leadership Institute (Iowa LTAP), which issues completion certificates and is open to public agency employees; verified via direct fetch, page undated (only copyright range 1995-2026 shown). Excluded: the National CPM Consortium program run with Drake University (das.iowa.gov / drake.edu), per instructions since it is scored separately as the CPM metric. Excluded generic DAS 'human-resources/training-and-development' HR pages and compliance-only training as non-qualifying per rules. No dollar/budget figures were recorded."
Kansas,1,Kansas Learning & Performance Management (KLPM),Accredited + established,yes,City & County Management Certificate (KU School of Public Affairs and Administration) (University of Kansas); Public/Nonprofit Management Certificate (KU School of Public Affairs and Administration) (University of Kansas),yes,74,B,83,78.5,11.775,https://admin.ks.gov/for-state-agencies/klpm; https://spaa.ku.edu/city-county-management-certificate; https://spaa.ku.edu/publicnonprofit-management-certificate,undated; undated; undated,yes,"Kansas PD functions: found one official statewide function confirmed on a state .gov source — Kansas Learning & Performance Management (KLPM), a Dept. of Administration/Office of Personnel Services platform (implemented 2021) providing training enrichment and performance-review management statewide (admin.ks.gov/for-state-agencies/klpm). The generic ""Training"" page (admin.ks.gov/offices/personnel-services/training) and ""STAT"" (Statewide Training Action Team) reference were not counted separately as they largely point back to KLPM and orientation/compliance-style content rather than a distinct dedicated PD division/academy. No dedicated statewide leadership academy run directly by Kansas state government was found on an official .gov source; Leadership Kansas and the Kansas Leadership Center are independent nonprofits, not state-government-run, so they were excluded. Excluded the Heartland Certified Public Manager (CPM) program at KU Public Management Center (kupmc.ku.edu) — this is Kansas's National CPM Consortium-accredited CPM program, scored separately per project rules, not a non-CPM certificate. Non-CPM certificate programs found at public universities: KU's City & County Management Certificate and Public/Nonprofit Management Certificate (both verified on primary spaa.ku.edu pages, 12 graduate credit hours each, no page-level pub date so marked ""undated""); Wichita State's MiniMPA professional-development certificate series (Hugo Wall School) was found via search but not independently re-fetched/confirmed on a primary page, so verified=false. Kansas State University's online graduate certificate was mentioned in search results but no primary page was located/confirmed, so it was not included as a distinct verified item."
Kentucky,1,"Governmental Services Center (GSC), Kentucky Personnel Cabinet",No program,no,"Graduate Certificate in Public Financial Management (University of Kentucky, Martin School of Public Policy and Administration)",yes,62,B-,80,71,10.65,https://extranet.personnel.ky.gov/Pages/GSC.aspx; https://martin.uky.edu/graduate-certificate-public-financial-management,undated; undated,yes,"Kentucky pd_functions: only the Governmental Services Center (GSC) within the Personnel Cabinet was confirmed as a dedicated, named statewide PD function on an official state.gov page (extranet.personnel.ky.gov/Pages/GSC.aspx) — it is described as ""the training and development office for Kentucky state employees,"" offering leadership/customer-service instructor-led training and eLearning via CommonwealthU. No last-updated date appears on the page, so pub_date is 'undated'. No separately named 'leadership academy' could be confirmed on an official KY source (searches returned only generic Personnel Cabinet references, not a formally named academy) — not included since it could not be confirmed on a primary page. certificate_programs: University of Kentucky Martin School offers a 'Graduate Certificate in Public Financial Management' aimed at public/nonprofit finance leaders, verified on martin.uky.edu (undated page, no last-updated date shown). Martin School also offers a 'Graduate Certificate in Nonprofit Management,' but it is nonprofit-sector focused rather than public-manager focused, so it was excluded. The historic Kentucky CPM program (established 1985 via GSC + Kentucky State University) is reported by secondary sources (Kentucky Society of Certified Public Managers, kscpm.org) to no longer be actively offered; included here as verified=false/unconfirmed since no live official page confirms it, and it is the National CPM Consortium program type which is scored separately and excluded from this list's count regardless. No other non-CPM public-manager certificate programs at Kentucky public universities were confirmed."
Louisiana,2,"Learning, Performance, and Culture division (administers Comprehensive Public Training Program / CPTP); SCS CPTP Leadership Academy",Program exists,no,Louisiana Public Leader Certificate Program (LSU Executive Education),yes,77,B+,88,82.5,12.375,https://www.civilservice.louisiana.gov/divisions/training/default.aspx; https://www.civilservice.louisiana.gov/divisions/training/LeadershipAcademy.aspx; https://www.lsu.edu/business/executive-education/public-leader.php,undated; undated; 2024,yes,"Louisiana PD functions found on official state.gov (civilservice.louisiana.gov) sources: (1) Learning, Performance, and Culture division (formerly Talent Development), which administers the statutory Comprehensive Public Training Program (CPTP) for state Classified employees; (2) SCS CPTP Leadership Academy, a standing leadership-development program under CPTP. Both confirmed on live official state pages, no explicit page date shown. Certificate programs (non-CPM) found via public university (LSU): Louisiana Public Leader Certificate Program (LSU Executive Education, confirmed on primary page, references a 2024 cohort date) for state/local government and nonprofit employees; and a general ""Management and Leadership Certificate Program"" listed on LSU Continuing Education's course catalog (ce.lsu.edu) — not explicitly restricted to public-sector employees and page is undated, so marked verified=false/lower confidence. LSU's Certified Public Manager (CPM) program was excluded per instructions since it is the National CPM Consortium program scored separately."
Maine,1,"Statewide coordinated training and organizational development system (Bureau of Human Resources, per 5 M.R.S. §7036) — includes the statutory Training and Organizational Development Fund",No program,no,"Certificate of Graduate Studies in Public and Nonprofit Management (Muskie School of Public Service, University of Southern Maine) (University of Southern Maine — Muskie School of Public Service)",yes,62,A-,92,77,11.55,https://legislature.maine.gov/statutes/5/title5sec7036.html; https://usm.maine.edu/policy-planning-management/,undated; undated,yes,"Searched Maine state.gov HR/training pages, DHHS, and public university sites. STATEWIDE FUNCTION FOUND (1): Title 5 §7036 statutorily requires the State Human Resources Officer / Bureau of Human Resources to 'provide for a statewide coordinated training and organizational development system and services' and maintain a Training and Organizational Development Fund — this is the only confirmed dedicated statewide PD function on an official .gov/statute source; no separately named 'academy' or standalone training division currently exists (the former Office of Training and Organizational Development was disbanded in 2010 per secondary sources, unverifiable on a primary page, so not listed). EXCLUDED as not statewide/not qualifying: DHHS Staff Education and Training Unit (SETU) — confirmed on maine.gov but explicitly scoped to DHHS staff only, not statewide (https://www.maine.gov/dhhs/setu/); Maine Management Service — a job classification/compensation system, not a PD function (https://www.maine.gov/bhr/state-employees/MaineManagementService); Leadership Maine and Policy Leaders Academy — run by the private Maine Development Foundation, not state government. CERTIFICATE PROGRAM FOUND (1): USM Muskie School of Public Service offers a Certificate of Graduate Studies with a Public and Nonprofit Management concentration, confirmed on the official USM program page (https://usm.maine.edu/policy-planning-management/), designed for managerial/leadership challenges in public and nonprofit sectors; page had no explicit publication date so pub_date is 'undated'. Checked but not included: UMaine Division of Lifelong Learning (no government-manager-specific certificate found on primary page); UMA Public Administration program (bachelor's degree, not a certificate); 'Management Certificate Training Program' via Merrymeeting Adult Education, found only on the third-party Maine JobLink aggregator, not a primary state or public-university source, so excluded as unverified."
Maryland,0,,Program exists,no,"Graduate Certificate in Public Sector Finance and Acquisition (University of Maryland, College Park - Extended Studies / School of Public Policy); Graduate Certificate in Nonprofit Management Leadership (University of Maryland, College Park - Extended Studies / School of Public Policy); Executive Master of Public Management (EMPM) (University of Maryland School of Public Policy)",yes,7,B+,88,47.5,7.125,https://exst.umd.edu/professionals-post-baccalaureates/professional-graduate-programs/public-policy-graduate-programs/overview; https://exst.umd.edu/professionals-post-baccalaureates/professional-graduate-programs/public-policy-graduate-programs/overview; https://spp.umd.edu/your-education/masters/executive-master-public-management,undated; undated; undated,yes,"Maryland: No dedicated statewide central training division or leadership academy could be confirmed by name on an official state .gov source. DBM/OPSB's SPS Training via Workday Learning (The HUB) is state-run but reads as HR/system-usage training rather than a distinct PD/leadership function, so it is flagged unverified rather than counted. The Leadership Development Institute (mpctc.dpscs.maryland.gov/ldi.php) is an official state program but is scoped only to public-safety leaders (Maryland Police and Correctional Training Commissions), not a general statewide PD function, so it was excluded entirely. Leadership Maryland is a respected leadership program frequently used by public-sector professionals but is run by a private nonprofit, not a state agency, so it does not qualify as an official state PD function (listed with verified=false). Non-CPM certificate programs found at University of Maryland College Park (School of Public Policy / Extended Studies): Graduate Certificate in Public Sector Finance and Acquisition, Graduate Certificate in Nonprofit Management Leadership, and the Executive Master of Public Management (EMPM, a degree rather than short certificate, included for completeness). The Maryland Certified Public Manager Program (University of Baltimore, Schaefer Center) is explicitly the National CPM Consortium-accredited program and is EXCLUDED from scoring here per instructions (it is scored separately as the CPM metric); listed only for reference with verified=false to avoid double counting."
Massachusetts,1,Human Resources Division (HRD) — Commonwealth Learning and Professional Development,Program exists,no,"Certificate in Nonprofit Human Services Management (Suffolk University, Moakley Center for Public Management); Local Government Leadership and Management (certificate) (Suffolk University, Moakley Center for Public Management); Certificate in Human Services Management (Suffolk University, Moakley Center for Public Management); Online Certificate in Public Policy and Management (UMass Amherst School of Public Policy)",yes,62,A-,92,77,11.55,https://www.mass.gov/commonwealth-learning-and-professional-development; https://www.suffolk.edu/business/centers-institutes/moakley-center-for-public-management/certificate-programs; https://www.suffolk.edu/business/centers-institutes/moakley-center-for-public-management/certificate-programs; https://www.suffolk.edu/business/centers-institutes/moakley-center-for-public-management/certificate-programs; https://www.umass.edu/public-policy/online-certificate-public-policy-and-management,undated; undated; undated; undated; undated,yes,"MA official state PD infrastructure: Human Resources Division (HRD) runs ""Commonwealth Learning and Professional Development"" (mass.gov, verified/fetched, no date shown). HRD's Center for Staff Development (CSD) — page returned HTTP 403 on direct fetch, so corroborated only via search snippet (not independently re-opened/verified); CSD reportedly runs a ""Supervisor Academy"" and ""Management Certificate Program"" per search snippet, also unverified due to 403 block. MassAchieve is the Commonwealth's employee learning-management/LMS system (mass.gov page exists but not deep-fetched, so verified=false). No dedicated statewide ""leadership academy"" statute found beyond CSD's Supervisor Academy (unverified). Non-CPM certificate programs found at public universities: Suffolk University's Moakley Center for Public Management offers several certificates (Nonprofit Human Services Management, Local Government Leadership and Management, Human Services Management, and others) confirmed on Suffolk's own official program page — verified. UMass Amherst School of Public Policy offers an ""Online Certificate in Public Policy and Management,"" confirmed on its own official page — verified. UMass Lowell offers a ""Graduate Certificate in Public Administration & Leadership"" per catalog listing — not independently re-fetched for full confirmation, verified=false. None of these pages displayed an explicit last-updated/publication date; all pub_date values set to ""undated"" per instructions. No dollar figures, tuition, or budget data collected per PD-infrastructure-only scope."
Michigan,0,,Accredited + established,yes,Graduate Certificate in Public Administration (Central Michigan University),yes,20,A,100,60,9,https://www.cmich.edu/program/public-administration-grad,undated,yes,"Found for Michigan: (1) Human Resource Training and Development (HRTD), the training/development division under the Michigan Civil Service Commission/Dept. of Civil Service, offering technical and leadership/business-skills training for state employees; (2) the State of Michigan Learning Center (SOMLC), the central LMS platform hosting HRTD and other training courses for state employees. Both are named on official michigan.gov pages per search-engine snippets, but direct WebFetch to both URLs returned HTTP 403 (blocked), so I could not literally re-open and re-confirm page text -- set verified=false for both pending a re-fetch via an alternate method (e.g., archived/Wayback snapshot). No dedicated statewide 'leadership academy' distinct from HRTD was found; Michigan State Police's Training Division/Leadership in Police Organizations is agency-specific (law enforcement), not a statewide general-employee leadership academy, so it was excluded. Certificate program: Central Michigan University's Graduate Certificate in Public Administration, aimed at government/nonprofit professionals, confirmed on CMU's own program page (verified=true), no publication date shown on page. Note: SVSU's 'Michigan's Certified Public Manager Program' was found but excluded per instructions since it is the National CPM Consortium program, scored separately in Dimension 4's CPM metric, not a certificate program to be listed here."
Minnesota,4,"Enterprise Talent Development (ETD) — Minnesota Management and Budget (MMB), the state's central training/learning division offering leadership, core, and employee development courses for state employees; Emerging Leaders Institute (ELI) — cohort-based leadership development program preparing future leaders in Minnesota government, run under ETD; Senior Leaders Institute (SLI) — executive development program for experienced managers/directors moving into higher administrative leadership roles, run under ETD; Strategic Effectiveness for Aspiring Leaders (SEAL) — leadership-track program for non-management state employees aspiring to leadership, run under ETD",Program exists,no,"Certificate in Public Affairs Leadership — Hubert H. Humphrey School of Public Affairs, University of Minnesota; 9-month cohort program for mid-career public/nonprofit sector leaders (University of Minnesota (Humphrey School of Public Affairs))",yes,92,A,100,96,14.4,https://mn.gov/mmb/etd/; https://mn.gov/mmb/etd/leadership-development/; https://mn.gov/mmb/etd/leadership-development/; https://mn.gov/mmb/etd/leadership-development/; https://www.hhh.umn.edu/certificate-programs/certificate-public-affairs-leadership,undated; undated; undated; undated; undated,yes,"Minnesota — PD functions confirmed on official mn.gov (MMB) source: Enterprise Talent Development (ETD) is the central statewide training division; under it, three named leadership programs are explicitly listed on the official leadership-development page: Emerging Leaders Institute (ELI), Senior Leaders Institute (SLI), and Strategic Effectiveness for Aspiring Leaders (SEAL). No mandatory-compliance or generic HR/benefits pages were counted. Non-CPM certificate programs: Certificate in Public Affairs Leadership at UMN Humphrey School (verified on primary page, aimed at public/nonprofit mid-career leaders) and Public Management Graduate Certificate at MN State Mankato (found via search, not re-fetched/confirmed on primary page, so verified=false). Neither official mn.gov source nor the university pages displayed explicit publication/last-updated dates, so pub_date is recorded as ""undated"" per instructions."
Mississippi,3,Office of Training and Development (Mississippi State Personnel Board); Mississippi LEAD (Leadership Excellence And Development); Mississippi Continuous Improvement Program (MS-CIP),Accredited + established,yes,Administrative Services Certification Program (ASCP) (Mississippi State Personnel Board); Executive Services Certification Program (ESCP) (Mississippi State Personnel Board),yes,100,A-,92,96,14.4,https://www.mspb.ms.gov/training-development; https://www.mspb.ms.gov/training-development/mississippi-lead; https://www.mspb.ms.gov/training-development/mississippi-continuous-improvement-program; https://www.mspb.ms.gov/training-development/career-enhancement-and-electives; https://www.mspb.ms.gov/training-development/career-enhancement-and-electives,undated; undated; undated; undated; undated,yes,"Confirmed on official MSPB (www.mspb.ms.gov) pages, all undated (no page-level last-updated timestamp found): (1) pd_functions — Office of Training and Development (central training division), Mississippi LEAD (2-year executive leadership program), Mississippi Continuous Improvement Program/MS-CIP (6-month project management/process improvement course). Excluded the National CPM-accredited Mississippi Certified Public Manager (MCPM) program since CPM is scored separately. (2) certificate_programs — Administrative Services Certification Program (ASCP) and Executive Services Certification Program (ESCP) were explicitly named and confirmed on the career-enhancement-and-electives page (verified=true). Human Resources Certification Program (HRCP) and Basic Supervisory Course (BSC) were named on the training-development landing page/search results but did NOT appear on the career-enhancement-and-electives sub-page when directly fetched, so listed as verified=false pending a source that explicitly confirms them as standalone certificate programs. A third-party ""Mississippi Leadership Academy"" run by the Mississippi Center for Public Policy (mspolicy.org) was found but excluded as it is a private nonprofit, not a state government function."
Missouri,2,"Missouri Leadership Academy; State of Missouri Talent Development (Office of Administration Division of Personnel training/learning program, incl. MO Learning / Statewide Learning Framework)",Accredited + established,yes,"Graduate Certificate in Public Management (University of Missouri / Mizzou Online) (University of Missouri (Mizzou)); Certificate in Public Management (Missouri State University, Political Science and Philosophy Dept.) (Missouri State University)",yes,89,A-,92,90.5,13.575,https://leadershipacademy.mo.gov/; https://training.oa.mo.gov/; https://online.missouri.edu/degrees-programs/mu/arts-and-sciences/public-management/grad-cert; https://www.missouristate.edu/PSP/CPM/default.htm,undated; undated; undated; undated,yes,"Missouri statewide PD functions found and confirmed on official .gov pages: (1) Missouri Leadership Academy (leadershipacademy.mo.gov) — a named six-month statewide leadership development program hosted by the Office of Administration for emerging leaders across executive departments; (2) State of Missouri Talent Development / MO Learning / Statewide Learning Framework, run by OA's Division of Personnel via training.oa.mo.gov, the state's dedicated statewide training/learning infrastructure (distinct from generic HR/careers pages). Neither page displayed an explicit last-updated/publication date, so pub_date is set to 'undated' for both; these are current live official pages as of access. Non-CPM-Consortium certificate programs found at public universities: Mizzou's Graduate Certificate in Public Management (12 credit hours, NASPAA-aligned MPA coursework) and Missouri State University's Certificate in Public Management (postbaccalaureate, 12 credit hours) were confirmed on their own official program pages (verified=true). Also found but not independently re-fetched/confirmed on a primary page in this pass: MU Extension's non-credit Certificate in Public Management and UMKC Bloch School's MPA Certificate Options (both listed verified=false — found via search, not directly confirmed on the primary page). Excluded from pd_functions: generic HR/careers/benefits pages, job-classification specs (e.g., Staff Training and Development Coordinator classification page), and compliance-only training references. No dollar/spending figures were recorded per instructions."
Montana,1,State Enterprise Learning and Development (ELD),No program,no,"Graduate Certificate in Public Administration (University of Montana (Alexander Blewett III School of Law, Dept. of Public Administration and Policy))",yes,62,B+,88,75,11.25,https://doa.mt.gov/eld/; https://catalog.umt.edu/graduate/law/public-administration-policy/certificate/public-administration-certificate/,undated; 2025-2026 (catalog edition),yes,"Confirmed on Montana Dept. of Administration official site (doa.mt.gov/eld, redirect target of eld.mt.gov) a dedicated statewide function: ""State Enterprise Learning and Development"" (ELD) — the state's central training/learning division for state employees, offering courses including leadership development; no separately named leadership academy was found on this page (page itself references a ""Public Service Academy"" only as an external UM opportunity, not a state-run academy, so it was not counted as a state pd_function). For certificate programs, confirmed the University of Montana's ""Graduate Certificate in Public Administration"" (12-credit, Dept. of Public Administration and Policy, Blewett School of Law) via the official UM course catalog (2025-2026 edition). Montana State University's Master of Public Administration program was found but is a full degree, not a certificate, so excluded. No MSU-specific standalone certificate for public managers was confirmed on an official page. The CPM Consortium program itself is excluded per instructions (scored separately)."
Nebraska,1,State Personnel Training and Development (Nebraska DAS Personnel Division),Program exists,no,"Nebraska State Government Leadership Certificate (Nebraska Department of Administrative Services (DAS), State Personnel Division)",yes,62,B,83,72.5,10.875,https://das.nebraska.gov/personnel/training/about-us.html; https://das.nebraska.gov/personnel/training/leadership-cert.html,undated; undated,yes,"Confirmed statewide PD function: Nebraska DAS State Personnel Training and Development division (das.nebraska.gov/personnel/training/about-us.html), an official central training unit for state employees — page has no visible pub/update date (set to 'undated'). Confirmed structured certificate program: Nebraska State Government Leadership Certificate, a 1-year/16-module supervisory/manager credential run by DAS State Personnel with a completion ceremony (das.nebraska.gov/personnel/training/leadership-cert.html; undated). Found mentions of a 'Governor's Leadership Academy' hosted with the University of Nebraska's Center for Executive and Professional Development, referenced on an NDCS (Dept. of Corrections) agency news page, but the direct URL returned 404 on re-fetch and no primary statewide .gov page could be confirmed naming/describing it as an official standing program — recorded as unverified, not counted. No other statewide public-university certificate program for public managers (beyond the DAS Leadership Certificate) was confirmed on an official primary source within the time available."
Nevada,2,"Office of Employee Development (OED) — Nevada Division of Human Resource Management, Dept. of Administration; Management Academy — 5-month statewide leadership/management program for mid-level managers, run by OED",Accredited + established,yes,Nevada State Leadership Academy (NSLA) — Supervisor Bootcamp and Leadership Academy micro-credential programs (Nevada State University (public university)),yes,89,B+,88,88.5,13.275,https://hr.nv.gov/Sections/Office_of_Employee_Development/; https://hr.nv.gov/Services/ManagementAcademy/ProgramContent/; https://workforce.nevadastate.edu/nevadastate/course/course.aspx?catId=4,undated; undated; undated,yes,"Nevada: Confirmed two official state PD functions on hr.nv.gov (state .gov, Dept. of Administration/Division of HR Management) — (1) Office of Employee Development (OED), the central statewide learning & development division; (2) Management Academy, a standing 5-month leadership program for mid-level state managers run by OED. Excluded the Nevada Certified Public Manager (NVCPM) Program per instructions (it is the National CPM Consortium program, scored separately elsewhere, though it is also administered by OED). One non-CPM certificate program found and verified: Nevada State Leadership Academy (NSLA) at Nevada State University, a public-university micro-credential program comprising the Supervisor Bootcamp and Leadership Academy tracks for public-sector supervisors/managers. Excluded from consideration: NV ELearn (general course platform, not a dedicated PD division), Mandatory Supervisory Courses (compliance-oriented), and Leadership Institute of Nevada (LION) — a private/nonprofit org, not confirmed as state-run or university-run, so not included as verified. No page displayed an explicit last-updated/publication date; all set to ""undated"" per instructions (hr.nv.gov footer shows only a generic site copyright year, not a content date)."
New Hampshire,0,,Program exists,no,,no,0,A-,92,46,6.9,,,no,"Attempted to source NH statewide PD infrastructure from official training.nh.gov and das.nh.gov pages. Found via WebSearch (which quoted page content): (1) Bureau of Education and Training (BET) within NH Dept. of Administrative Services — the state's central training/learning division (training.nh.gov); (2) Supervisory Academy (SA) — an 8-week structured leadership training program for new managers/supervisors run by BET (training.nh.gov/programs/supervisory-trainings.aspx); (3) a Human Resource Management Certificate Program offered via DAS HR (das.nh.gov/hr/documents/HR Program.pdf), a non-CPM certificate credential. Excluded the NH Certified Public Manager (CPM) program (training.nh.gov/programs/cpm.aspx) per instructions since it is the National CPM Consortium program scored separately elsewhere. IMPORTANT LIMITATION: every training.nh.gov and das.nh.gov URL returned HTTP 403 Forbidden when directly re-fetched via WebFetch (bot-blocked/JS-rendered), so I could not literally re-open the primary pages myself to confirm exact wording or find a last-updated date — all items above are set verified=false and pub_date=undated accordingly, though official_state_gov=true since the domains are legitimate NH state government sites and WebSearch's own fetch surfaced quoted text naming these programs directly from those pages. No leadership academy beyond the Supervisory Academy, and no other public-university public-manager certificate program, was identified in this search pass."
