source_id,dataset,publisher,url,filename,sha256,bytes,downloaded_at,reference_year,covers_51,notes
CPISER,CPI series directory (cu.series),U.S. Bureau of Labor Statistics,https://www.bls.gov/cpi/,cu.series,6ad9eaa7bff399fb57b249d70fbc1249119abd2eabd1ee4a3f058c7ccab69ff3,1339447,2026-08-04T03:27:36Z,n/a,n/a,Companion lookup used only to confirm the definition of series CUUR0000SA0. Not a data source for any indicator.
NASRA,NASRA Issue Brief: Employee Contributions to Public Pension Plans,National Association of State Retirement Administrators,https://www.nasra.org/contributionsbrief,NASRAContribBrief.pdf,a49b8f2effcf044e6cf52d333c7715f5bb6d5becfee6ecab9abfaa71bd80927e,295245,2026-08-04T03:27:39Z,NOVEMBER 2025 EDITION - rates as of October 2025 - NOT 2024,"NO - 50 of 51, D.C. absent","I4 - BLOCKED, DO NOT EXTRACT WITHOUT A USER DECISION. Two independent failures. (1) ANCHOR-YEAR VIOLATION: the file at this URL is the November 2025 edition and Appendix A states 'information reflects rates in effect as of October 2025'. The anchor is 2024. NASRA overwrites a single file at a fixed URL, so no 2024-dated edition is reachable from nasra.org; the only route to one would be a web archive, which is not used without explicit approval. (2) D.C. ABSENT: zero occurrences of 'District of Columbia' across all 12 pages - NASRA covers state retirement systems and D.C. is not a state. All 50 states are present. STRUCTURE: Appendix A is prose inside a PDF table, not structured data. The employee contribution rate is embedded in sentences carrying multiple tiers, hire-date cutoffs and employee classes per plan, and default plan type (DB/DC/HYBRID/CHOICE) is never a discrete field - it has to be read out of that same prose. The 2024-new-hire tier rule is applicable but requires prose interpretation for all 50."
NASRA_PLANTYPE,"NASRA: Overview of Primary Retirement Benefit Plan Type, by State",National Association of State Retirement Administrators,https://www.nasra.org/plandesign,NASRA_Overview_Primary_Retirement_Benefit_Plan_Type.pdf,794e9901454596e0775f49de1cdc7ad3c1ab4fdcc1981b2d79d20a3aaf1308ca,261868,2026-08-04T03:57:52Z,Updated December 2025 - see uniform anchor-year deviation,YES - 51 of 51,"I4 default-plan-type input. SOURCE ADDED DURING PHASE 2 - FLAGGED FOR COORDINATOR CONFIRMATION. Reason it was needed: the Contributions Brief has NO plan-type field. It names a plan type in prose only when the plan is unusual (DC or hybrid), so under a strict rule every plain-DB state would have been COULDNT_CHECK on plan type and I4 would have been almost entirely empty. This file states the prevailing plan type for state employees for every jurisdiction. Constraints respected: same publisher (NASRA), no web archive, no aggregator, no substitute publisher. Covers all 51 INCLUDING D.C. ('District of Columbia: DB for teachers and public safety personnel; DC for general employees'), so it would also resolve D.C.'s plan type in the remaining 36 even though D.C. stays COULDNT_CHECK on I4 overall for want of a contribution rate and Social Security determination. Introduces a cash-balance (CB) category; see decision D5_I4_CB_RUBRIC. BOTH NASRA documents share the same late-2025 off-anchor vintage (Contributions Brief November 2025 with rates as of October 2025; this file updated December 2025), so the single uniform-deviation disclosure recorded in D2_I4_SOURCE covers both documents. APPROVED by the coordinator as Decision 4."
NASRA_PFS24_A,"NASRA Public Fund Survey FY24, Appendix A (assets and membership)",National Association of State Retirement Administrators,https://www.nasra.org/publicfundsurvey,PFS_FY24_AppendixA.pdf,99b52a927b82862a9031d3ca5d7d99b78ee7e94c390296d7e15a63234404b745,106064,2026-08-04T03:35:13Z,FY2024,n/a,"Downloaded while searching for a 2024-anchored I4 source. NOT SUITABLE: carries market value of assets, actives and annuitants by system only. Contains none of the three required I4 facts (Social Security coverage, default plan type, employee contribution rate). Retained for provenance; not used by any indicator."
NASRA_PFS24_B,"NASRA Public Fund Survey FY24, Appendix B (actuarial funding levels)",National Association of State Retirement Administrators,https://www.nasra.org/publicfundsurvey,PFS_FY24_AppendixB.pdf,1bb9de2ff46707b36b0cd0319583b03b7a8265317fd9a687f97bafb5bfdfc048,68714,2026-08-04T03:35:13Z,FY2024,n/a,"Downloaded while searching for a 2024-anchored I4 source. NOT SUITABLE: carries actuarial value of assets, liabilities, unfunded liability and funding ratio only. Contains none of the three required I4 facts. Zero mentions of D.C. Retained for provenance; not used by any indicator."
I1_SOURCE_DECISION,Decision record - not a data file,PSAI D1 build,,,,,,2024,n/a,"OEWS Research Estimates (OEWSRES24, NAICS 999200) SELECTED for Indicator 1; ASPEP24 NOT SELECTED. Reason: the spec permits the upgrade only if the research estimates cover the state-government sector at state level for all 51 with acceptable reliability. They do - 51 of 51 present, no suppressed cells, all MEAN_PRSE <= 0.2, all A_MEAN inside the plausibility band. ASPEP fails coverage: it has no state-government record for D.C. at all, because Census classifies D.C. as a municipal government. Using ASPEP would make I1 COULDNT_CHECK for D.C., cutting D.C.'s covered_weight to 0.68 and forcing an INSUFFICIENT verdict with no published D1 score, on the highest-weighted indicator. The two sources are NOT mixed: all 51 I1 values will come from OEWSRES24. OPEN CONSEQUENCE REQUIRING USER SIGN-OFF: this changes the I1 formula. The spec computes annual pay as (sum full-time March payroll / sum full-time employees) * 12 over a fixed seven-function basket. OEWSRES24 publishes A_MEAN directly in USD_annual for all state government excluding schools and hospitals, so there is no payroll-over-headcount step and no seven-function basket. The exclusion of schools and hospitals matches the spec's stated intent, but the basket is not reproducible in this source. Not implemented pending user approval."
D1_I1_SOURCE,Phase 2 decision record - not a data file,PSAI D1 build,,,,,,2024,n/a,"APPROVED AND IMPLEMENTED. I1 uses OEWSRES24 NAICS 999200, O_GROUP=total, A_MEAN as published, for all 51. ASPEP24 not used for any jurisdiction; no mixing. The seven-function basket is RETIRED: the source's exclusion of schools and hospitals matches the basket's stated intent of keeping institutional structure out of a pay measure, but the named functions cannot be isolated. raw_unit USD_annual. No payroll-over-headcount step is performed. Detailed occupation rows deliberately not used - sector mean only."
D2_I4_SOURCE,Phase 2 decision record - not a data file,PSAI D1 build,,,,,,2024 anchor,n/a,"APPROVED AND IMPLEMENTED. I4 uses the November 2025 NASRA Contributions Brief (rates in effect October 2025) for all states, applied identically. UNIFORM ANCHOR-YEAR DEVIATION, disclosed in the notes of every I4 row: the anchor-year rule exists to stop reference years drifting BETWEEN states, and one off-anchor vintage applied to every state creates no cross-state incomparability. This is a disclosed uniform deviation, not mixed vintages. No web archive used; no substitute publisher used. D.C. is COULDNT_CHECK for I4 in the full build - NASRA covers state retirement systems and D.C.'s is not one (zero mentions in the brief). A second NASRA file (NASRA_PLANTYPE) was added for plan type - see that row."
D4_I4_PLANTYPE,Phase 2 decision record - not a data file,PSAI D1 build,,,,,,2024 anchor,n/a,"APPROVED. NASRA_PLANTYPE is an approved I4 source supplying default plan type, which is 40 of the 100 I4 rubric points. The spec's original I4 source list was incomplete - it asked for three facts and named a source carrying only two. Both NASRA documents share the October-December 2025 off-anchor vintage and are covered by the single uniform-deviation disclosure. STANDING RULE recorded with this decision: a source not named in the spec may be PROPOSED only if it is (a) the same publisher, (b) the same vintage and (c) a primary source; it must always be flagged for approval and never used silently. Aggregators, archives, scrapers and substitute publishers remain forbidden. Anything outside those three conditions is COULDNT_CHECK. This is a narrow exception for a spec gap, not permission to expand the source list."
D5_I4_CB_RUBRIC,Phase 2 decision record - not a data file,PSAI D1 build,,,,,,n/a,n/a,"APPROVED. The I4 plan-type rubric gains CB = 30, equal to HYBRID. Rationale: cash-balance plans pool investment risk with an employer-guaranteed credit, which sits structurally between DB and DC, so HYBRID's 30 is the closest fit. Full plan-type rubric is therefore DB 40, HYBRID 30, CB 30, CHOICE 25, DC 15. Added to rule R5 BEFORE any CB jurisdiction was extracted and applied blind to all 51; the value was not revisited after seeing its effect. Four jurisdictions carry CB for general employees: Kansas, Kentucky, Nebraska and Texas. Texas was not among the three anticipated - its 2024 tier is cash balance for state employees hired after 8/31/22 - and it was scored under the same rule without adjustment."
D6_R6_REFINE_1,Phase 3 decision record - not a data file,PSAI D1 build,,,,,,n/a,n/a,"FIRST REFINEMENT of rule R6 (Social Security coverage). Original R6 mapped any 'X, except Y' wording to PARTIAL, understating coverage where the exception fell on a class R3 already excludes. Restated: an exception affecting ONLY classes excluded by R3 does not reduce coverage; where it reaches any part of the general-employee population, PARTIAL applies at 20. Derivable from R3's own scoping and chosen without knowledge of which jurisdictions it affects. Implemented as a blind mechanical classifier (work/r6_refined.py) with no jurisdiction names in it. OUTCOME: five of six expected states moved (Kansas, Minnesota, New Hampshire, Pennsylvania, Rhode Island); Oregon correctly did NOT move (its exception is employer-elected and names no class); Kentucky moved the WRONG WAY, PARTIAL to NOT_COVERED, because its exception names university members. That unpredicted move triggered the stop-condition and led to Decision 8."
D8_R6_REFINE_2,Phase 3 decision record - not a data file,PSAI D1 build,,,,,,n/a,n/a,"SECOND REFINEMENT of rule R6. Root cause: R3's exclusion list serves TWO distinct purposes and R6 was reading both. POPULATION-SCOPE entries name classes genuinely outside the general-employee population; RATE-PURITY entries name classes that ARE general employees but whose distinct rate figures must be kept out of the general rate. R6 inherits population-scope exclusions ONLY. University members are rate-purity and were dropped from R6's list. R6 list now: public safety, police, fire, state patrol/troopers, judiciary, teachers. AUDIT OF DROPPED/AMBIGUOUS ENTRIES: corrections, sheriffs, law enforcement, custodial and legislators are arguably population-scope but were not adjudicated, so they are NOT kept; this ambiguity is FLAGGED rather than silently decided. None of those tokens appears in any of the 51 raw Social Security strings, so the ambiguity is moot for this build and is recorded for a future rebuild. Re-run blind across all 51: exactly ONE jurisdiction moved, Kentucky NOT_COVERED -> PARTIAL, as predicted; no unpredicted moves; the five from the first refinement were undisturbed at COVERED and Oregon remained PARTIAL."
D7_OR_MI_RATES,Phase 3 decision record - not a data file,PSAI D1 build,,,,,,n/a,n/a,"Oregon stands at 5.25% (contingent 0.75% DB contribution excluded, consistent with the Connecticut risk-sharing treatment) and Michigan at 0.0% (default-taking-no-action, consistent with the Georgia opt-out-able-default reading). Changing either would break a precedent already applied to another state - the exact inconsistency this build exists to prevent. Both alternative readings and their effects remain documented in the row notes."
D3_I3_FMR_WEIGHT,Phase 2 decision record - not a data file,PSAI D1 build,,,,,,FY2025,n/a,"APPROVED AND IMPLEMENTED. The 1-bedroom FMR is population-weighted using HUD's own pop2022 field, present on all 4,680 rows at exactly the FMR geography. No join to Census county estimates. This reaches the 1,605 sub-county town rows (AK, CT, MA, ME, MO, NH, RI, VT) and resolves the Connecticut legacy-county vs planning-region mismatch that would otherwise have broken CT, a first-15 state. Applied uniformly to all jurisdictions with no unweighted or Census-weighted fallback anywhere. Recorded in every I3 row's notes: the weighting field, the fact that 2022 population weights a FY2025 rent index, and the row count per jurisdiction. POP24 remains registered but is NOT used by any indicator under this decision."
