jurisdiction,indicator,raw_value,raw_unit,reference_year,source_id,source_url,source_file,locator,status,verification_method,verification_result,extracted_at,notes
Georgia,I1_PAY_LEVEL,56260,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M38743 (row 38743: AREA_TITLE='Georgia', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=73620, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 56260.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Hawaii,I1_PAY_LEVEL,69780,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M38918 (row 38918: AREA_TITLE='Hawaii', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=18610, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 69780.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Idaho,I1_PAY_LEVEL,67410,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M39048 (row 39048: AREA_TITLE='Idaho', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=16970, MEAN_PRSE=0.2 (reliability acceptable). M1=VERIFIED; M2=I1: 67410.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Illinois,I1_PAY_LEVEL,83200,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M39167 (row 39167: AREA_TITLE='Illinois', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=58450, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 83200.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Indiana,I1_PAY_LEVEL,62060,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M39310 (row 39310: AREA_TITLE='Indiana', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=31270, MEAN_PRSE=0.1 (reliability acceptable). M1=VERIFIED; M2=I1: 62060.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Iowa,I1_PAY_LEVEL,71720,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M39418 (row 39418: AREA_TITLE='Iowa', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=18990, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 71720.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Kansas,I1_PAY_LEVEL,57050,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M39526 (row 39526: AREA_TITLE='Kansas', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=18450, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 57050.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Kentucky,I1_PAY_LEVEL,62060,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M39621 (row 39621: AREA_TITLE='Kentucky', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=34890, MEAN_PRSE=0.1 (reliability acceptable). M1=VERIFIED; M2=I1: 62060.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Louisiana,I1_PAY_LEVEL,54250,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M39762 (row 39762: AREA_TITLE='Louisiana', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=31680, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 54250.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Maine,I1_PAY_LEVEL,63260,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M39896 (row 39896: AREA_TITLE='Maine', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=13100, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 63260.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Maryland,I1_PAY_LEVEL,77930,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M40006 (row 40006: AREA_TITLE='Maryland', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=58440, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 77930.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Massachusetts,I1_PAY_LEVEL,87840,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M40190 (row 40190: AREA_TITLE='Massachusetts', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=62440, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 87840.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Michigan,I1_PAY_LEVEL,74770,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M40335 (row 40335: AREA_TITLE='Michigan', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=45390, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 74770.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Minnesota,I1_PAY_LEVEL,81250,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M40469 (row 40469: AREA_TITLE='Minnesota', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=39310, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 81250.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Mississippi,I1_PAY_LEVEL,48980,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M40610 (row 40610: AREA_TITLE='Mississippi', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=22500, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 48980.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Missouri,I1_PAY_LEVEL,53070,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M40722 (row 40722: AREA_TITLE='Missouri', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=46720, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 53070.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Montana,I1_PAY_LEVEL,68040,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M40877 (row 40877: AREA_TITLE='Montana', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=12880, MEAN_PRSE=0.2 (reliability acceptable). M1=VERIFIED; M2=I1: 68040.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
